Date,Time,Location,Operator,FlightNo,Route,Type,Registration,cnIn,Aboard,Fatalities,Ground,Summary
01/02/1990,13:40,"Java Sea, Indonesia",Pelita Air Service,,Palambang and Jakarta,CASA 212 Aviocar 200,PK-PCM,217/57N,16,9,0,Ditched into the Java Sea after experiencing mechanical problems with the right engine and being unable to maintain altitude. The crew shut down the engine and feathered the propeller but could not maintain altitude despite jettisoning luggage out of the aircraft.
01/13/1990,12:56," Pervouralsk, Russia",Aeroflot,,Tyumen - Ufa,Tupolev TU-134A,CCCP-65951,2351703,71,27,0,A fire in the rear cargo hold and fire warning in both engines forced the plane to crash land in a snow laden field. The plane broke up after striking irrigation equipment. Short circuit in the electrical wiring.
01/17/1990,07:19," Leadville,USA",Federal Express,824,Denver - Montrose,Cessna 208A Caravan I Cargomaster,N835FE,208-00091,1,1,0,"The cargo plane crashed into a 14,200 ft. Mount Massive 50 feet below the summit  while en route. Diversion of the pilot's attention, resulting in an in flight collision with terrain during normal cruise flight."
01/18/1990,17:10,"Ansonia,USA",Aeroflite Services,,"Detroit, MI - Louisville, KY",Learjet 23,N331DP,23-067,2,2,0,Twenty minutes after taking off  the crew began to display signs of incapacitation. Twenty minutes later the plane went into a steep dive and crashed to the ground. The flight crew became incapacitated for undetermined reasons and lost control of the airplane.
01/23/1990,07:35," Caracas, Venezuela",Military - Venezuelan Navy,-,Caracas - Puerto Ayancucho,CASA 212-200 Aviocar,ARV-0210,268,25,25,0,"Crashed into El Junquito Hill 5 minutes after taking off and burned. Most likely cause was reduced visibility, rain and low overcast."
01/25/1990,21:34,"Cove Neck, USA",AVIANCA,52,Medellin - New York City,Boeing B-707-321B,HK 2016,19276/592,158,73,0,"The aircraft was put in a series of extended holding patterns as it approached New York.The crew informed ATC they were running out of fuel but did not declare an emergency and were cleared to land. After a missed approach and during  a go-around, the plane ran out of fuel and crashed in a wooded area. The captain speaking very little English and communicating through the first officer, at no time declared an emergency. The first officer used the term 'we need priority' several times, rather than declaring an emergency. The ATC did not realize the peril of the aircraft. Failure of the crew to properly communicate the emergency situation to the ATC. Although blame was placed squarely on the crew there are several reasons why ATC should have  taken some responsibility for the accident. ATC was trying to land too many planes at once given the weather and number of missed approaches and aborted landing that were taking place. The plane was put in an extended holding pattern on three different occasions. The crew was not told of wind shear below 500 ft. which led to the aborted landing attempt. The plane was passed between three different controllers as it came out of its holding pattern to land. Each time the crew had to repeat their fuel situation.  The crew did say 'we are running out of fuel' numerous times only to be taken on a wide circling pattern after the first attempt at landing was aborted. Although the major blame was placed on the crew, in the end, the FAA paid 40% of compensations to the passenger's families."
01/29/1990,21:00,"Burlington,USA",Airborne Express,,"Burlington, VT - Albany, NY",Cessna 208B Caravan I Cargomaster,N4688B,208B-0169,2,2,0,"In light snow, the cargo plane was unable to gain altitude and crashed into trees. The failure of the pilot to de-ice the airplane prior to departure, and his decision to make the takeoff at a weight that exceeded both the maximum structural takeoff weight and the reduced takeoff weight allowed for icing conditions resulting in an inadvertent stall."
01/29/1990,20:33,"Plattsburg, USA",Wiggins Airways,,Plattsburg - Syracuse,Cessna 208B Caravan I Cargomaster,N854FE,208B-0172,1,1,0,"The cargo plane took off at night in snow was unable to gain altitude, make a steep descent and crashed into trees. Loss of control in-flight after the airplane stalled during climbout. The stall resulted from a loss of lift due to a contaminated wing surface. Contributing to the accident was the failure of the pilot to de-ice the aircraft prior to departure."
02/12/1990,09:29,"Bauru, Brazil",TAM (Brazil),,San Palo - Bauru - Aracatuba,Fokker 27 Friendship 200,PT-LCG,10206,40,2,2,"Crashed after an aborted landing following landing  too fast and 2/3rds down the runway. The pilot attempted a go-around, became airborne but stalled and crashed into houses and a car killing two people."
02/14/1990,13:03,"Bangalore, India",Indian Airlines,605,Bombay - Bangalore,Airbus A320-231,VT-EPN,79,146,92,0,"On final approach, the aircraft descended below the normal approach profile until it hit the ground 2,300 ft. short and 200 ft. to the right of the runway centerline. The co-pilot's (in this case check captain's) flight director was left in the Open Descent Idle Mode instead of the Vertical Speed Mode, the prescribed setting for an approach and landing.The aircraft could not maintain the correct flight path at idle power. Failure of the crew to realize the gravity of the situation and respond immediately towards proper action of moving the throttles, even after the radio altitude call-outs."
